id;totalReg;anomalies;notAanomalie;meanValueAll;meanValue;stdValue;mediaValue;totalTime;dateDir;percentAnomaly;imptEngLoad;imptEngRPM;imptGndSpd;imptBaseCutPrs;imptBaseCutHght;imptChopperHydPrs;imptChopperRPM;imptAboveEngLoad;imptAboveEngRPM;imptAboveGndSpd;imptAboveBaseCutPrs;imptAboveBaseCutHght;imptAboveChopperHydPrs;imptAboveChopperRPM;anomalyAcumulate;totalAcumulate
1;31552;31537;15;0,12992518268952477;0,12995518212662815;0,034301977788269884;0,12676014051677148;20850;2024-05-21;100,0;35402,443450601764;41197,66624864973;36269,996228603835;26039,19395407942;56353,26432426263;29128,622536091472;177349,95095126022;35394,06945493314;41184,810288275374;36258,75425374065;26031,674672686;56342,25539875312;29117,341832975762;177313,95881392848;31537;31552
2;43813;43765;48;0,3640096195174757;0,36433799814033085;0,605035453719946;0,13415549018054257;26898;2024-05-22;99,9;111123,51965666875;922774,3292151121;78233,28004204515;58995,73264582651;66882,5870860472;48723,9229801655;276205,26744621777;111095,5184336114;922726,8728837649;78204,4256265542;58975,30149478817;66850,03878871659;48696,814253447985;276085,7724030568;75302;75365
3;11856;11856;0;0,1271007460136902;0,1271007460136902;0,013920067182052112;0,12668404469545758;6234;2024-05-23;100,0;9988,743814930634;16380,847830029557;10331,085735168199;9795,318328101948;14151,502266975274;5769,577580526264;81259,75602862309;9988,74381493056;16380,8478300296;10331,085735168268;9795,3183281019;14151,502266975294;5769,577580526194;81259,75602862271;87158;87221
4;2186;19;2167;0,030517783463373086;0,08117873088947909;0,012756269940556494;0,07806989089668341;1927;2024-05-31;0,9;1009,5623060270898;998,9541371320686;989,959150990274;929,6148089119488;822,9899028210725;754,309335886407;1032,3740740226285;18,292591575967;16,28914666864864;27,548753264547983;19,82983738922343;34,68344908816646;14,206801463687071;20,304217465969472;87177;89407
5;18165;319;17846;0,038710950078337476;0,2711198042316135;0,8522691561112439;0,07856168474767196;11067;2024-06-05;1,8;8244,07014596062;14315,997664650367;9233,76725487588;7148,860546920674;12471,694933661149;7987,889136082326;9509,792318802922;367,45225399346907;5314,46444105809;555,3905120418461;302,1933451657984;728,7887718406972;449,07649641743905;758,3814993713595;87496;107572
6;23153;194;22959;0,029195416979965368;0,17670611931637814;0,5134849559201542;0,08457735368876149;17878;2024-06-06;0,8;9436,643324048284;11588,714097567354;9618,546532236147;8362,446550168714;8105,2020124835135;8649,310091437492;10483,36334709791;323,9510040398295;1713,3060318368332;295,28512899153634;185,80328227773532;318,92727936581707;273,7145060354636;248,54950789576597;87690;130725
7;867;1;866;0,02618965941580299;0,07084974856610092;0;0,07084974856610092;872;2024-06-07;0,1;308,8657000666598;351,68647537383015;320,47275036174506;285,4303399379496;251,5226348748766;325,9829409264921;381,2697603815639;0,8047457068203745;1,8275766153883455;0,5837277263725793;0,9271535858626658;0,3553434892661907;1,3043908501162096;1,1403373856515255;87691;131592
8;55028;2487;52541;0,033593637707149106;0,10119204213662913;0,07329687479528157;0,0832422753150614;39937;2024-06-12;4,5;24443,02479323897;27037,38958027098;27452,128411044818;24513,716056903046;24598,6574403448;26158,71203885529;26958,259862746014;2733,9489176770876;2864,938210075045;4006,5539565097265;3252,86272003263;3835,47615728537;4322,907149113708;3646,4445510984847;90178;186620
9;45157;411;44746;0,032590650512397686;0,2287249577083468;0,6159270559803394;0,09119485524593612;31416;2024-06-13;0,9;18495,470067562354;25020,591298885785;21814,005533960008;19105,146049485425;21848,010945752158;17904,78682850075;20038,197784312517;703,894738278126;3526,7331893145556;1382,1845227183605;464,20433687907155;1932,7879981290305;521,3064823882748;681,4725788693725;90589;231777
10;57986;1617;56369;0,04404478228967393;0,5298137359867172;1,2117544723927562;0,10012091420126884;40861;2024-06-14;2,8;26274,542885858915;83876,04304836458;29707,729289281364;25288,2023635993;30351,312063084915;24160,515817675325;30631,76762534095;3175,0308448888936;58386,00419659817;3828,615543430735;2906,3785717172173;9129,316650920571;2373,421930770216;4158,695748545352;92206;289763
11;56990;5558;51432;0,04713817105766829;0,14092930853642804;0,38814370150492594;0,08522305074790792;47324;2024-06-15;9,8;35574,73308802653;48697,43613405531;36412,33506232183;35087,998662761085;36293,56797240987;34249,28532408901;36952,27187683572;7909,308117695833;23742,759407904916;8297,962274185886;9152,360955427313;8589,08110838349;9612,980749753844;9457,486877504472;97764;346753
12;49945;3442;46503;0,04217015315182828;0,1316447846792715;0,32244419705737315;0,08099170422437481;41492;2024-06-16;6,9;31099,894546507872;37225,52604278776;27172,661570468113;24784,738818214875;31510,691197817934;25082,77628991261;29530,164852761944;5112,5324062447835;14405,71659562495;4734,764632034244;4073,810160909224;6805,691325677725;4284,926398006402;4988,450670375796;101206;396698
13;58289;6749;51540;0,04850076924380705;0,10934650750020672;0,23323963749439758;0,0797898368578382;52107;2024-06-17;11,6;33714,78481885978;45151,467275357805;37873,95153883092;29526,35727247213;62240,345285314776;32833,81317430499;35711,291803181135;6984,681084520872;18439,375809981666;9024,0465973986;6287,782793241996;17370,414499711875;6953,440091130887;7262,257877665832;107955;454987
14;43683;2091;41592;0,0403103314364395;0,1773920864170262;0,5072301587582049;0,09779687649690716;36111;2024-06-18;4,8;24555,23158761231;25016,619575223318;24829,058186372087;24386,536150211403;20043,369006991332;22007,259955230034;31715,94269843989;3767,8709934644066;5649,555666323273;3591,6257378982323;4512,10018412526;2186,3357492163314;4725,875498748837;11917,467734627813;110046;498670
15;57602;3077;54525;0,04559312438726936;0,21973444072437812;0,5446815357857762;0,0856480046904591;44591;2024-06-19;5,3;31751,598521498738;59103,83486848766;34607,278974011424;28262,3873430155;43216,372769431226;28107,84391129869;32323,6884058931;5099,225808382346;32201,237007588792;6753,450879266692;4221,008540507205;7808,482198981511;4925,487868365895;5251,14935958084;113123;556272
16;71214;9940;61274;0,06177072285021862;0,2047823770137853;0,6684657677329775;0,09043123381852147;54479;2024-06-20;14,0;50757,548061899935;117442,0040428632;49061,875776505556;45632,66052934919;62641,27138946159;48262,44245654805;57298,34293481196;16657,495028973655;87075,25348314572;15541,443096379726;16399,814182137172;22206,618363946545;17969,71965471169;23632,265287374732;123063;627486
17;77365;2394;74971;0,044394192477699074;0,42439519855536173;1,6586786477503972;0,08623467542206302;50613;2024-06-21;3,1;37810,14481731483;108815,44135363444;37290,55889812848;34040,52517069205;43165,2868202513;34871,60387078698;40592,995770837995;4345,00225618916;73994,80167288968;4863,8033338595405;3979,540796851332;4956,524613490923;3186,4814359219477;4242,052214267961;125457;704851
18;92064;1480;90584;0,03152280432330662;0,09472901711114856;0,09636469616849586;0,07851279914121076;59459;2024-06-22;1,6;40634,75237556315;42989,44220483964;39594,76766460996;37651,16713948684;42428,04971238662;38351,32698415692;42757,80872660628;1699,4011152071794;3082,4904933354196;2027,2749158969068;1972,55571414099;1810,7116638531238;1549,7281970710767;1597,3345422962905;126937;796915
